timestamp,emotion,confidence,posture,state
2026-05-20 17:58:07.514041,Surprise,33.49,Disengaged,Slouched
2026-05-20 17:58:07.829124,Sadness,27.01,Disengaged,Slouched
2026-05-20 17:58:08.848964,Sadness,29.66,Disengaged,Slouched
2026-05-20 17:58:09.161615,Sadness,27.77,Disengaged,Slouched
2026-05-20 17:58:09.457216,Sadness,30.8,Disengaged,Slouched
2026-05-20 17:58:09.763333,Sadness,29.62,Disengaged,Slouched
2026-05-20 17:58:10.057409,Sadness,29.97,Disengaged,Slouched
2026-05-20 17:58:10.342001,Sadness,28.8,Disengaged,Slouched
2026-05-20 17:58:10.632076,Sadness,33.55,Disengaged,Slouched
2026-05-20 17:58:10.879141,Sadness,30.79,Disengaged,Slouched
2026-05-20 17:58:11.199239,Sadness,32.34,Disengaged,Slouched
2026-05-20 17:58:11.530323,Sadness,31.98,Disengaged,Slouched
2026-05-20 17:58:11.939942,Sadness,30.43,Disengaged,Slouched
2026-05-20 17:58:12.385056,Sadness,28.68,Disengaged,Slouched
2026-05-20 17:58:12.688659,Sadness,27.96,Disengaged,Slouched
2026-05-20 17:58:12.953725,Sadness,27.9,Disengaged,Slouched
2026-05-20 17:58:13.202789,Sadness,29.21,Disengaged,Slouched
2026-05-20 17:58:13.444853,Sadness,29.26,Disengaged,Slouched
2026-05-20 17:58:13.857954,Sadness,29.63,Disengaged,Slouched
2026-05-20 17:58:14.487678,Sadness,29.91,Disengaged,Slouched
2026-05-20 17:58:14.966798,Sadness,30.16,Disengaged,Slouched
2026-05-20 17:58:15.211893,Sadness,28.59,Disengaged,Slouched
2026-05-20 17:58:15.668048,Sadness,28.75,Disengaged,Slouched
2026-05-20 17:58:16.156174,Sadness,29.12,Disengaged,Slouched
2026-05-20 17:58:17.277983,Sadness,28.78,Disengaged,Slouched
2026-05-20 17:58:17.551592,Sadness,29.12,Disengaged,Slouched
2026-05-20 17:58:17.801656,Sadness,28.31,Disengaged,Slouched
